"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",6201.33813579624,336.299787069458,15.2439517838711,749.648742662665,58.3832626830285,3.39257407669391,36.25284723303
"ols_I",-7.50904525943817e-14,1.7688433308936,-3.56821734307294,-1.21525184916988,-3.51460199278948,-2.16521793110602,-0.757829523654204
"wlss_I",-4.5054271556629e-14,2.3559724298501,-3.88155772481657,1.59839375011248,-3.66028868945966,-2.34438518024785,-0.172010936162661
"wlsv_I",-6.00723620755054e-14,3.67809260214928,-5.16541972939954,-0.833283213237365,-3.48605627277639,-3.61569788733106,-0.608797917729599
"shrink_I",-1.20144724151011e-13,3.984508076054,-4.86468341978101,-0.507606115133329,-2.93472023803249,-3.70387500188552,-0.423170022793054
"ols_iMinT",-1.50180905188763e-13,1.76884333089365,-3.56821734307298,-1.21525184916974,-3.51460199278938,-2.16521793110607,-0.757829523654224
"wlss_iMinT",-2.10253267264269e-13,1.9924980882165,-3.83672457074348,1.59839375011249,-3.79114419718477,-2.3317945480399,-0.237160379209606
"wlsv_iMinT",-1.50180905188763e-14,1.97980806165291,-5.60818555159144,1.5754515527892,-4.30471375983846,-4.2331531157972,-0.561956495682774
"shrink_iMinT",-3.00361810377527e-14,1.90326105008349,-5.97860562496387,0.780701362769821,-4.63740310652693,-4.68421400344899,-0.822434431682424
