"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",3680.66420473295,293.428618555547,15.3648927297589,602.99906655932,54.9690894712715,3.33891715416919,27.9935965405417
"ols_I",8.85608909110109e-14,3.94849114722846,-5.15986121277549,-2.81950943585726,-0.909125805716426,-1.5023536409688,-0.650512312475651
"wlss_I",-7.59093350665808e-14,4.68615391368058,-7.63069979672174,1.06976754885972,-2.22300966128234,-2.45452389843139,-0.232652291476729
"wlsv_I",3.16288896110753e-13,9.88179180946265,-2.90244339927793,1.6330495619136,1.77361577849224,1.19694482946668,2.08140011381809
"shrink_I",1.13864002599871e-13,9.45271480002685,-5.97721375116845,-4.81080060693792,0.411279121885997,-0.880404893846205,0.0393570265154119
"ols_iMinT",2.65682672733033e-13,3.94849114722848,-5.15986121277537,-2.81950943585722,-0.909125805716439,-1.50235364096885,-0.65051231247556
"wlss_iMinT",1.39167114288731e-13,3.95889857112573,-7.42909281912867,1.0697675488598,-2.46564321742685,-2.39653972569546,-0.364537721450697
"wlsv_iMinT",3.41592007799614e-13,3.90975135721048,-8.40129552875325,4.26802560547237,-2.49009749844797,-2.75574300497893,0.144485413610569
"shrink_iMinT",1.01212446755441e-13,3.5600923177181,-10.0976655881556,-3.39346990647679,-4.74795782521625,-4.20347679738637,-2.05506373317659
