"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",5604.2064372541,364.488715875143,17.0045953079254,836.552715251028,61.0413469967611,3.46845168557736,36.6791364309685
"ols_I",-9.97096647001962e-14,2.82292899668736,-5.68159985055592,-9.43073665606072,-1.06127177395969,-0.771138225703771,-2.20876663607672
"wlss_I",6.64731098001308e-14,2.81585432092504,-8.75479785668362,-8.98067224333677,-2.26551790106736,-1.9826823216272,-2.5865074122543
"wlsv_I",3.32365549000654e-14,6.94656733380214,-6.80037938137444,-9.32044384524316,0.662505476372712,0.271484976032887,-1.34369102667353
"shrink_I",6.64731098001308e-14,6.91260514304395,-8.16775373738932,-13.4390233451516,-0.257712546735916,-1.15497745305489,-2.54683229322773
"ols_iMinT",-2.16037606850425e-13,2.82292899668739,-5.68159985055595,-9.43073665606074,-1.06127177395982,-0.771138225703837,-2.20876663607682
"wlss_iMinT",-8.30913872501635e-14,2.4552553548414,-8.57953758269566,-8.9806722433368,-2.40009292742272,-1.92897986475875,-2.64188125957014
"wlsv_iMinT",-6.64731098001308e-14,2.5010465009837,-9.82027515494507,-7.24791227716323,-2.30433624212904,-2.45062932883648,-2.39190153570382
"shrink_iMinT",-1.16327942150229e-13,2.36527725911841,-11.1909448075701,-12.6741322654333,-4.23728837614001,-3.75528779860416,-3.99536715244028
