"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",3713.03064886626,259.700934626953,13.3883894735484,540.872421834129,50.8060625860387,3.13741353073844,26.1511199716028
"ols_I",2.50825447643383e-13,2.08402882466397,-2.56732911750168,-0.646719010175355,-2.17020077247457,-1.61556251593352,-0.441388633814722
"wlss_I",2.8844926478989e-13,2.9185705267977,-2.85908107299875,1.81440376433216,-2.81312948752502,-1.86228906955279,0.043389627171731
"wlsv_I",-1.3795399620386e-13,3.92677149538971,-2.65320826703316,0.38445475044315,-1.45780936216295,-2.08132012837155,0.10347057983305
"shrink_I",4.13861988611581e-13,4.04898402122094,-2.99365018935895,-0.147693971783715,-1.33513504511425,-2.41841340550752,-0.0253120523195925
"ols_iMinT",-3.76238171465074e-14,2.0840288246639,-2.56732911750158,-0.646719010175355,-2.17020077247456,-1.61556251593352,-0.441388633814819
"wlss_iMinT",-5.01650895286765e-14,2.30600309599799,-2.85396346313735,1.81440376433203,-3.00882996868229,-1.86092416034241,-0.0812608170711261
"wlsv_iMinT",-1.00330179057353e-13,2.26276696405916,-4.02157587585316,2.42059099952783,-3.38548924446744,-3.1541495772912,-0.239284963711819
"shrink_iMinT",-8.77889066751839e-14,2.14885977868746,-4.41799393014545,1.44769698195739,-3.914674994249,-3.62458856232001,-0.592704839050854
