"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",3829.26127970903,296.112164859308,15.4500706349947,618.645927620252,55.6129267804098,3.34564554784748,28.5974267333842
"ols_I",4.86424146375431e-14,3.56229874950742,-5.37564442984634,-3.25449561208805,-1.3454422902748,-1.45322801180192,-0.87686784452693
"wlss_I",-7.29636219563147e-14,4.30824068893173,-7.86658959712116,0.19542593988678,-2.91258407196573,-2.46311603225384,-0.577458839797243
"wlsv_I",4.86424146375431e-14,8.49821663310691,-3.72583919367395,0.86615165299822,0.517037144885951,0.906799480335241,1.40410883332941
"shrink_I",1.45927243912629e-13,8.0553211335057,-6.5961423638964,-5.08691797792968,-0.631588718274814,-1.04950057831556,-0.477471508448514
"ols_iMinT",3.64818109781574e-14,3.56229874950746,-5.37564442984631,-3.25449561208805,-1.3454422902748,-1.45322801180185,-0.876867844526917
"wlss_iMinT",4.86424146375431e-14,3.44902834619347,-7.71730411649354,0.195425939886818,-3.19851492654773,-2.42002884647215,-0.742360997227377
"wlsv_iMinT",1.21606036593858e-13,3.41452473943075,-8.69078062130638,3.35089102329699,-3.15470585897739,-2.69286991833455,-0.218586299262176
"shrink_iMinT",0,3.08689037402601,-10.3199030320705,-4.0371008790344,-5.33453067633996,-4.10972179334899,-2.33755623534493
