"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",4314.60336312191,319.597542305031,15.897321608496,676.753223059238,57.13143193843,3.3630592399401,30.8668121306491
"ols_I",1.07926789119916e-13,3.6638781179289,-5.2255004785436,-5.34133478179119,-0.568926000527609,-1.09337331144431,-1.12067363387321
"wlss_I",-2.15853578239832e-14,4.16077110524049,-7.93557140846155,-2.97377123449615,-2.30616273571494,-2.21934669470217,-1.10101015694014
"wlsv_I",1.29512146943899e-13,8.4269207706002,-4.61860753884015,-2.49262846430641,1.43618429039761,1.20267004004066,0.761873977912951
"shrink_I",2.59024293887798e-13,7.98442235628242,-7.19936246942729,-7.6867050648303,0.300649093479123,-0.751027609110631,-0.918944784861328
"ols_iMinT",-1.51097504767882e-13,3.6638781179289,-5.22550047854358,-5.34133478179128,-0.56892600052766,-1.09337331144421,-1.12067363387328
"wlss_iMinT",-4.31707156479664e-14,3.4299728172594,-7.76595467576971,-2.97377123449613,-2.56167153450014,-2.16923510809667,-1.23701217506634
"wlsv_iMinT",1.07926789119916e-13,3.41269605212665,-9.05164892938881,-0.187337686145451,-2.28922799064234,-2.34346869203544,-0.7654760338463
"shrink_iMinT",-6.47560734719496e-14,3.09880689285692,-10.6879696054685,-6.74942543323158,-4.40869632583411,-3.77676386231472,-2.69741995852031
