"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",4403.28924911078,319.29897102181,16.0105325868457,692.106330097462,57.5156484667124,3.39009418031876,31.2804836245801
"ols_I",-2.11506108712607e-14,3.08209554857381,-5.62604067201613,-5.7922519171696,-1.34043536156999,-1.25144493767385,-1.47040568697054
"wlss_I",-6.34518326137822e-14,3.55240831884229,-8.31287710687247,-3.39300105343557,-2.71215332409672,-2.32283976195799,-1.39118205857562
"wlsv_I",8.46024434850429e-14,7.69000051874296,-5.17224728223952,-3.45694966888787,0.400549612516557,0.599293423391347,0.188951975242798
"shrink_I",6.34518326137822e-14,7.38062332024645,-7.47799176472184,-8.41488152171713,-0.618088886951017,-1.19343857321991,-1.37353565052219
"ols_iMinT",0,3.08209554857385,-5.62604067201613,-5.79225191716958,-1.34043536157,-1.25144493767382,-1.47040568697052
"wlss_iMinT",6.34518326137822e-14,2.86697323130049,-8.16477419861906,-3.39300105343554,-2.94997851166396,-2.27912404359088,-1.51806328957385
"wlsv_iMinT",1.48054276098825e-13,2.85442999253932,-9.31985971712903,-0.851579271214241,-2.88103365712267,-2.62114988211583,-1.1165647243748
"shrink_iMinT",4.23012217425214e-14,2.58915067159911,-10.840683302055,-7.34752377833642,-4.96865147321937,-3.98324448125012,-3.01480213667139
