"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",4464.62568380837,287.077742109327,13.8564036858932,604.542515116347,52.9807861952817,3.20355290466587,29.2457396022536
"ols_I",2.08600371133701e-14,2.82571917696498,-2.5066267782315,-0.583976338401949,-1.30487810248915,-1.58052966325947,-0.153137344491812
"wlss_I",4.17200742267402e-14,3.64199050850105,-2.86307496238089,1.78430595634503,-1.75465442735327,-1.82628840428363,0.335800066824924
"wlsv_I",6.25801113401102e-14,4.57591573819811,-2.84503273495606,-0.0186099261913917,-0.10614154093646,-1.78104799876547,0.337924180373526
"shrink_I",-2.08600371133701e-13,4.83668435122198,-2.9886629841611,0.157155987792919,0.605559444579584,-2.00183765084289,0.469365516201371
"ols_iMinT",-1.0430018556685e-13,2.82571917696502,-2.50662677823151,-0.583976338402084,-1.30487810248914,-1.58052966325949,-0.153137344491911
"wlss_iMinT",-2.08600371133701e-14,2.92143787876274,-2.84285942417753,1.78430595634503,-1.99867522818402,-1.82082348247627,0.192348953759691
"wlsv_iMinT",-2.08600371133701e-14,2.90283986571839,-4.27978008732165,1.90966552687686,-2.28301221228852,-2.98297052047317,-0.0358055288183837
"shrink_iMinT",-1.2516022268022e-13,2.80786516689163,-4.72969573627746,1.10627349652626,-2.66282527133347,-3.46955880452925,-0.33004091875744
