"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",4644.73881155119,288.096528802119,14.0639153395174,625.438234145806,53.3613860767019,3.23457672928764,29.9681349968478
"ols_I",1.20306774490656e-13,2.69915344546596,-2.74814959519138,-1.03332122470958,-2.1790059285282,-1.77801978162689,-0.403948493565533
"wlss_I",4.01022581635521e-14,3.44564343418424,-3.09160954682926,1.19703290274769,-2.53734689878167,-2.00313316486387,0.0634978116413515
"wlsv_I",-4.01022581635521e-14,4.82069058424492,-3.4096438321049,-0.926999551242234,-1.11020532855295,-2.34458141105614,-0.0223215810884499
"shrink_I",-2.0051129081776e-14,5.12016794264496,-3.46076571398629,-0.976295475775696,-0.561536189361469,-2.56705976684996,0.0580299935310942
"ols_iMinT",-6.01533872453281e-14,2.69915344546592,-2.74814959519138,-1.03332122470958,-2.1790059285282,-1.77801978162686,-0.403948493565643
"wlss_iMinT",-2.0051129081776e-14,2.88568173294427,-3.04167067205063,1.19703290274771,-2.7262979294922,-1.98956229907102,-0.0420241993994662
"wlsv_iMinT",6.01533872453281e-14,2.87101570878044,-4.51681118296698,1.29243130259273,-3.07363434420485,-3.40611527699659,-0.302581502874489
"shrink_iMinT",6.01533872453281e-14,2.76722572261199,-4.93482843403386,0.485349656047365,-3.46609976449933,-3.86890776865865,-0.595328236943238
