"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",3555.30225184885,280.887502305713,15.1815029597819,592.721134121794,54.8460135197965,3.33944463284752,27.3543820184719
"ols_I",1.04781254435531e-13,3.81878605044379,-5.36668667903796,-2.22475277518133,-1.8989559733157,-1.66262159496774,-0.745414996981106
"wlss_I",-3.92929704133242e-14,4.75001087004002,-7.6621256761267,1.675994766393,-3.4008568533665,-2.59091344317432,-0.303747929301538
"wlsv_I",1.04781254435531e-13,9.12702400325165,-3.02899700182732,2.24560069632104,-0.235920329356493,0.794893309692722,1.73618307307636
"shrink_I",1.44074224848855e-13,8.67061194802279,-6.11077246726118,-4.06289811565096,-1.37978054748962,-1.2167702948243,-0.26649452395644
"ols_iMinT",9.16835976310897e-14,3.81878605044383,-5.36668667903791,-2.22475277518129,-1.89895597331568,-1.66262159496767,-0.745414996981066
"wlss_iMinT",1.04781254435531e-13,3.77261393186129,-7.51941902664752,1.67599476639302,-3.71370842532625,-2.55036588101123,-0.492442235202652
"wlsv_iMinT",2.09562508871062e-13,3.71107897464625,-8.29486862505995,4.78577095049729,-3.88427475543156,-2.89551227598146,0.000306949674036599
"shrink_iMinT",3.92929704133242e-14,3.37056928565201,-9.93303159898809,-2.95460616867782,-6.08642612188475,-4.32423538757442,-2.21784351888198
