"","Total","Middle","Bottom","All_series"
"basef",297.418638474881,148.900599534279,78.5326769465376,129.90722076137
"ols_I",0,-0.296386462573457,-0.268701814449651,-0.189884677570575
"wlss_I",0,-0.280865751622482,-0.261344866820794,-0.182260412612496
"wlsv_I",0,-0.291755771591717,-0.269955482690187,-0.188801256396889
"sam_I",0,-0.237995949421244,-0.264525720905476,-0.169319886415171
"shrink_I",0,-0.265839717946522,-0.278302139912582,-0.183197377303257
"ols_iMinT",0,-0.296386462573457,-0.268701814449669,-0.189884677570597
"wlss_iMinT",0,-0.280865751622482,-0.261344866820812,-0.182260412612496
"wlsv_iMinT",0,-0.286542336902805,-0.261024493353437,-0.184008753521505
"sam_iMinT",0,-0.238140333202994,-0.271567167686745,-0.171799603765279
"shrink_iMinT",0,-0.26398682463359,-0.286512931716973,-0.185426955325807
