"","Total","Middle","Bottom","All_series"
"basef",105.774422985433,52.920811900609,30.3395931443432,47.5677741948605
"ols_I",0,0.0885511575488424,-0.287950338204216,-0.0768010532819913
"wlss_I",-1.34350576577091e-14,0.154764483603665,-0.259076656899475,-0.0452304931757491
"wlsv_I",0,0.146413280412935,-0.24396401279833,-0.0423769977364344
"sam_I",0,0.461603241078765,0.103525747833351,0.184460274701916
"shrink_I",0,0.338079617011774,-0.0667007334739008,0.0831541450763654
"ols_iMinT",-2.68701153154182e-14,0.0885511575488424,-0.287950338204227,-0.0768010532820062
"wlss_iMinT",-1.34350576577091e-14,0.154764483603665,-0.259076656899475,-0.0452304931757491
"wlsv_iMinT",-1.34350576577091e-14,0.163591500621045,-0.250098658408077,-0.0391524854290133
"sam_iMinT",-1.34350576577091e-14,0.495378436762842,0.0993112592663185,0.193660254951174
"shrink_iMinT",0,0.369516826484755,-0.0725207193626794,0.0910258046696527
