"","Total","Middle","Bottom","All_series"
"basef",105.374734224412,53.7819218602989,28.9556548446702,46.9658853319559
"ols_I",0,0.224749376556683,-0.263638322699994,-0.0193464871744373
"wlss_I",1.34860171366485e-14,0.282310291330101,-0.236910066706838,0.00890261867280522
"wlsv_I",1.34860171366485e-14,0.253904409749968,-0.252754876544946,-0.00597332540409577
"sam_I",0,0.188836504528882,-0.170963714251889,0.00155284462610238
"shrink_I",0,0.184757437891509,-0.269331567963623,-0.0344367510506233
"ols_iMinT",-1.34860171366485e-14,0.224749376556683,-0.263638322700007,-0.0193464871744373
"wlss_iMinT",0,0.282310291330088,-0.236910066706838,0.00890261867277496
"wlsv_iMinT",0,0.262723638450388,-0.246391851604305,-0.000846162079489859
"sam_iMinT",0,0.173643012497881,-0.196150658491607,-0.0122915150350888
"shrink_iMinT",-1.34860171366485e-14,0.176271041194386,-0.286738588411355,-0.0433458199302751
