"","Total","Middle","Bottom","All_series"
"basef",104.914508010311,70.4049124397972,51.5413148051016,64.5556560157589
"ols_I",0,-2.37321685942036,-1.57468363538517,-1.45791653925672
"wlss_I",0,-2.48599453171653,-1.61319692406049,-1.51062920811527
"wlsv_I",0,-2.40979066287936,-1.55091290093378,-1.45846811476225
"sam_I",0,-1.66037526713376,-0.56115957709424,-0.773394135153811
"shrink_I",0,-2.02037637452434,-1.10431138253961,-1.13337305145091
"ols_iMinT",0,-2.37321685942036,-1.5746836353852,-1.45791653925672
"wlss_iMinT",0,-2.48599453171653,-1.61319692406051,-1.51062920811527
"wlsv_iMinT",0,-2.44652929262345,-1.56561889945093,-1.47662526234923
"sam_iMinT",0,-1.73382893642626,-0.641459609346589,-0.832917690783745
"shrink_iMinT",0,-2.08489998953224,-1.1794741326336,-1.18777020335677
