"","Total","Middle","Bottom","All_series"
"basef",167.525124167782,113.179234778587,67.5315893363079,94.8585644385982
"ols_I",0,-8.4755458693595,-3.16172996279067,-4.17550698591064
"wlss_I",0,-8.49683185499457,-3.17064849850618,-4.18639145335786
"wlsv_I",0,-8.56016375234321,-3.18368855636977,-4.21328589170097
"sam_I",0,-8.523506665321,-3.05483785127311,-4.1483717836271
"shrink_I",0,-8.81793141165692,-3.46952253397981,-4.41743822981336
"ols_iMinT",-1.69656399728669e-14,-8.47554586935951,-3.16172996279069,-4.17550698591065
"wlss_iMinT",0,-8.49683185499457,-3.17064849850618,-4.18639145335786
"wlsv_iMinT",0,-8.5414792030771,-3.16982989587193,-4.20127854837521
"sam_iMinT",-1.69656399728669e-14,-8.51538091116291,-3.13072272569962,-4.1764725242879
"shrink_iMinT",-1.69656399728669e-14,-8.81239386029316,-3.53046568687561,-4.44034282668059
