"","Total","Middle","Bottom","All_series"
"basef",152.347598947551,96.4859058605248,60.0961163389488,83.6719822891994
"ols_I",0,-5.09808775275851,-2.41426914339284,-2.67053043568562
"wlss_I",0,-5.16339539287809,-2.44048242970994,-2.70280579055943
"wlsv_I",0,-5.20623380577694,-2.40627720930445,-2.70288125963279
"sam_I",0,-5.19186577667059,-2.54006523164231,-2.7530566790148
"shrink_I",0,-5.29335559069914,-2.69188721207611,-2.84880526661306
"ols_iMinT",0,-5.09808775275851,-2.41426914339284,-2.67053043568562
"wlss_iMinT",0,-5.16339539287809,-2.44048242970994,-2.70280579055943
"wlsv_iMinT",0,-5.1999247610606,-2.37603916501821,-2.68839232717789
"sam_iMinT",0,-5.18331900502474,-2.47076201290479,-2.72179736190596
"shrink_iMinT",0,-5.27803019467874,-2.6292412299022,-2.81804485831722
