"","Total","Middle","Bottom","All_series"
"basef",105.774422985433,53.4910566391749,30.6292342248682,47.8962104518936
"ols_I",-1.34350576577091e-14,-0.711943683161945,-0.225033492731402,-0.309406088738082
"wlss_I",-1.34350576577091e-14,-0.841988607792564,-0.281811278767326,-0.371649967116733
"wlsv_I",0,-0.806363227820451,-0.297727542153581,-0.366098479308198
"sam_I",-1.34350576577091e-14,-0.867635284891815,-0.254637246040628,-0.369903501663596
"shrink_I",-1.34350576577091e-14,-0.95278846834111,-0.339589371642644,-0.428118491192876
"ols_iMinT",0,-0.711943683161945,-0.225033492731426,-0.309406088738097
"wlss_iMinT",-1.34350576577091e-14,-0.841988607792564,-0.281811278767326,-0.371649967116748
"wlsv_iMinT",0,-0.823603883402488,-0.2911163358255,-0.369183891972033
"sam_iMinT",-1.34350576577091e-14,-0.939094479638099,-0.335191983967274,-0.422141978049458
"shrink_iMinT",-1.34350576577091e-14,-1.03215007183943,-0.412121035015864,-0.479946717017513
