"","Total","Middle","Bottom","All_series"
"basef",329.009346418477,177.209364016076,100.961576613192,155.324911557628
"ols_I",0,-0.674840176657596,-0.914797940495267,-0.559760973996193
"wlss_I",-1.72771440931976e-14,-0.608988528000285,-0.885901975392938,-0.527562490385429
"wlsv_I",0,-0.665469258796572,-0.925362989283444,-0.56063051268707
"sam_I",0,-0.571688000777772,-0.772405250849991,-0.473247554384453
"shrink_I",0,-0.642396888823115,-0.897699346301216,-0.542834507925146
"ols_iMinT",0,-0.674840176657612,-0.914797940495267,-0.559760973996193
"wlss_iMinT",0,-0.608988528000285,-0.885901975392938,-0.527562490385429
"wlsv_iMinT",0,-0.660410054314607,-0.918575230652055,-0.556460187193002
"sam_iMinT",0,-0.569008114774902,-0.768523002388521,-0.470932008709377
"shrink_iMinT",0,-0.638740431777848,-0.887640312837062,-0.537906386321089
