"","Total","Middle","Bottom","All_series"
"basef",161.555803455112,99.8664510733342,50.2878809169969,80.3486041813954
"ols_I",0,-12.3305300885561,-4.54801408362341,-6.00535371832083
"wlss_I",0,-12.8279326088179,-4.79496137762192,-6.27030893596937
"wlsv_I",0,-12.9269074312598,-4.92645728622328,-6.35248501174019
"sam_I",0,-13.5585610342104,-5.62151560024357,-6.82537800966343
"shrink_I",0,-13.5576724468435,-5.71645709915335,-6.8590174010988
"ols_iMinT",0,-12.3305300885561,-4.54801408362343,-6.00535371832083
"wlss_iMinT",0,-12.8279326088179,-4.79496137762192,-6.27030893596937
"wlsv_iMinT",1.75925029138931e-14,-12.8520539304612,-4.84955952353976,-6.29840138205338
"sam_iMinT",0,-13.4544740855559,-5.53840456999044,-6.75869092586775
"shrink_iMinT",0,-13.4581829998567,-5.62497383349994,-6.79096872274301
