"","Total","Middle","Bottom","All_series"
"basef",329.009346418477,225.623341934328,119.177185159518,179.566395846458
"ols_I",0,-15.2547523078961,-4.8288731340515,-7.30778032533829
"wlss_I",0,-15.6909727578537,-5.03533361473789,-7.5426831277464
"wlsv_I",0,-15.6006598930019,-5.06490928979532,-7.52147776178749
"sam_I",0,-15.8783874226569,-4.89214759834785,-7.5556605960318
"shrink_I",-1.72771440931976e-14,-16.0992381469929,-5.595086007093,-7.90153746595044
"ols_iMinT",0,-15.2547523078961,-4.82887313405152,-7.30778032533829
"wlss_iMinT",0,-15.6909727578537,-5.03533361473789,-7.5426831277464
"wlsv_iMinT",-1.72771440931976e-14,-15.568113000212,-5.01547613732,-7.49104580841158
"sam_iMinT",0,-15.9408032025478,-4.91264206343528,-7.58584028381318
"shrink_iMinT",0,-16.1330008469765,-5.57202686019128,-7.90491290623683
