"","Total","Middle","Bottom","All_series"
"basef",105.374734224412,52.2157269640229,28.1432542451278,46.0541721618527
"ols_I",0,0.994439751299362,0.435403637903731,0.474179127441247
"wlss_I",0,0.896329278295315,0.389896199193286,0.426506297533558
"wlsv_I",0,0.925268898770701,0.455871510920563,0.458919202470881
"sam_I",0,1.52430349292121,0.935095366128755,0.820312639005044
"shrink_I",1.34860171366485e-14,1.20655792398731,0.578516182711678,0.59286674595363
"ols_iMinT",0,0.994439751299362,0.435403637903718,0.474179127441231
"wlss_iMinT",-1.34860171366485e-14,0.896329278295315,0.389896199193273,0.426506297533558
"wlsv_iMinT",0,0.91807580292591,0.419561914222198,0.443909964201294
"sam_iMinT",0,1.4799826145586,0.895396074718452,0.79209257199088
"shrink_iMinT",1.34860171366485e-14,1.15555951845438,0.538128787545482,0.562243280164063
