"","Total","Middle","Bottom","All_series"
"basef",297.418638474881,218.73864144301,108.210047012758,166.819444201705
"ols_I",0,-19.6464092784733,-6.70237349717565,-9.84461665770382
"wlss_I",0,-20.2694985324764,-7.01725575783651,-10.1947651950827
"wlsv_I",0,-20.4019674323588,-7.24050500043126,-10.3271438868852
"sam_I",0,-21.2030068965816,-8.56887252218054,-11.1196238048638
"shrink_I",0,-21.260851649631,-8.61680880861845,-11.1590629523376
"ols_iMinT",0,-19.6464092784733,-6.70237349717567,-9.84461665770382
"wlss_iMinT",0,-20.2694985324764,-7.01725575783651,-10.1947651950827
"wlsv_iMinT",0,-20.2961854398733,-7.13699014280446,-10.2491445783445
"sam_iMinT",0,-21.080066580912,-8.44754879868241,-11.0285952088536
"shrink_iMinT",0,-21.1479367453057,-8.49516759264052,-11.0716725637749
