"","Total","Middle","Bottom","All_series"
"basef",110.61123591803,75.0606773487684,53.3551602560456,67.7361759485356
"ols_I",0,-0.437539139805971,-0.916180612791623,-0.550910137580288
"wlss_I",0,-0.441655848278335,-0.917628471465931,-0.552865220277775
"wlsv_I",0,-0.417714004025977,-0.910651877208583,-0.542144780191121
"sam_I",-1.28475688724183e-14,-0.33681028890079,-0.31740315793749,-0.249503313236627
"shrink_I",0,-0.403425227213792,-0.606324746577485,-0.400640436541862
"ols_iMinT",0,-0.437539139805971,-0.916180612791623,-0.550910137580288
"wlss_iMinT",-1.28475688724183e-14,-0.441655848278335,-0.917628471465944,-0.552865220277775
"wlsv_iMinT",0,-0.432569877700447,-0.923075901445847,-0.552440454189078
"sam_iMinT",0,-0.312717417776911,-0.365934387972337,-0.263719628390168
"shrink_iMinT",0,-0.397660744283729,-0.654396405808847,-0.420452834127279
