"","Total","Middle","Bottom","All_series"
"basef",167.525124167782,99.5804247013024,62.1810732662747,87.9157523764979
"ols_I",0,-0.636976230279177,-1.1843709919593,-0.684815622393869
"wlss_I",0,-0.54916689875769,-1.14921523609047,-0.642189957858963
"wlsv_I",0,-0.609792484902062,-1.15949152359518,-0.665963050981019
"sam_I",0,-0.348357819256948,-1.07246387438366,-0.546183702801741
"shrink_I",0,-0.501690133475907,-1.13775934309753,-0.622195374645731
"ols_iMinT",0,-0.636976230279177,-1.1843709919593,-0.684815622393853
"wlss_iMinT",0,-0.54916689875769,-1.14921523609047,-0.642189957858963
"wlsv_iMinT",0,-0.609321419192104,-1.1638393850602,-0.66756783558707
"sam_iMinT",0,-0.349284062295802,-1.08111028261957,-0.549977989723803
"shrink_iMinT",0,-0.503374522339111,-1.14742679935587,-0.62664768181198
