"","Total","Middle","Bottom","All_series"
"basef",144.123938118961,67.6655997176086,35.867311065158,60.4177688306872
"ols_I",0,-0.280688169371295,-0.152349508759206,-0.141498901663348
"wlss_I",0,-0.218442076683456,-0.12299186340808,-0.111621793322634
"wlsv_I",0,-0.252992662658282,-0.161564130090142,-0.135762530131545
"sam_I",0,-0.125641817048881,-0.132718369993003,-0.085226256968586
"shrink_I",0,-0.175755214321037,-0.15129447989007,-0.107563599091805
"ols_iMinT",0,-0.280688169371337,-0.152349508759206,-0.141498901663348
"wlss_iMinT",0,-0.218442076683456,-0.12299186340808,-0.111621793322645
"wlsv_iMinT",0,-0.237440138879505,-0.149805531433568,-0.126797005505659
"sam_iMinT",0,-0.1150407829033,-0.130832062978241,-0.0811941467821118
"shrink_iMinT",0,-0.167392467370233,-0.149657381488413,-0.104332255843111
